Singular	Plural	S Count	P Count	P %
doll	dolls	10	12	0.545454545455
headache	headaches	5	6	0.545454545455
rule	rules	61	73	0.544776119403
hour	hours	145	173	0.544025157233
object	objects	52	62	0.543859649123
friend	friends	125	149	0.543795620438
serum	sera	16	19	0.542857142857
map	maps	11	13	0.541666666667
nucleus	nuclei	11	13	0.541666666667
representative	representatives	23	27	0.54
consequence	consequences	30	35	0.538461538462
referral	referrals	6	7	0.538461538462
peer	peers	6	7	0.538461538462
twin	twins	6	7	0.538461538462
tablespoon	tablespoons	6	7	0.538461538462
scandal	scandals	6	7	0.538461538462
lamb	lambs	6	7	0.538461538462
organism	organisms	6	7	0.538461538462
disc	discs	6	7	0.538461538462
limit	limits	31	36	0.537313432836
wave	waves	44	51	0.536842105263
plate	plates	19	22	0.536585365854
commitment	commitments	13	15	0.535714285714
knee	knees	33	38	0.535211267606
product	products	83	95	0.533707865169
employer	employers	14	16	0.533333333333
aborigine	aborigines	7	8	0.533333333333
parameter	parameters	7	8	0.533333333333
premise	premises	7	8	0.533333333333
error	errors	36	41	0.532467532468
sketch	sketches	15	17	0.53125
experiment	experiments	53	60	0.530973451327
indicator	indicators	8	9	0.529411764706
revision	revisions	8	9	0.529411764706
arrangement	arrangements	33	37	0.528571428571
candidate	candidates	34	38	0.527777777778
projection	projections	9	10	0.526315789474
angel	angels	9	10	0.526315789474
topic	topics	9	10	0.526315789474
psychologist	psychologists	10	11	0.52380952381
entity	entities	10	11	0.52380952381
native	natives	10	11	0.52380952381
criterion	criteria	10	11	0.52380952381
bond	bonds	43	47	0.522222222222
trailer	trailers	11	12	0.521739130435
thing	things	331	361	0.521676300578
critic	critics	24	26	0.52
bubble	bubbles	12	13	0.52
atom	atoms	37	40	0.519480519481
import	imports	13	14	0.518518518519
boundary	boundaries	13	14	0.518518518519
ideal	ideals	15	16	0.516129032258
bomb	bombs	33	35	0.514705882353
planet	planets	21	22	0.511627906977
category	categories	23	24	0.510638297872
step	steps	110	114	0.508928571429
movie	movies	29	30	0.508474576271
word	words	261	269	0.507547169811
owner	owners	33	34	0.507462686567
song	songs	56	57	0.504424778761
method	methods	137	138	0.501818181818
deferment	deferments	1	1	0.5
orthophosphate	orthophosphates	1	1	0.5
agitator	agitators	1	1	0.5
affect	affects	1	1	0.5
missionary	missionaries	10	10	0.5
magnate	magnates	1	1	0.5
shoelace	shoelaces	1	1	0.5
notch	notches	6	6	0.5
hide	hides	4	4	0.5
coefficient	coefficients	3	3	0.5
insinuation	insinuations	2	2	0.5
herb	herbs	3	3	0.5
refinement	refinements	5	5	0.5
deposition	depositions	3	3	0.5
prune	prunes	1	1	0.5
remnant	remnants	2	2	0.5
blueberry	blueberries	1	1	0.5
pecan	pecans	1	1	0.5
ware	wares	1	1	0.5
pouch	pouches	2	2	0.5
sojourner	sojourners	1	1	0.5
worm	worms	4	4	0.5
elbow	elbows	7	7	0.5
sideline	sidelines	1	1	0.5
gentian	gentians	1	1	0.5
playback	playbacks	1	1	0.5
hop	hops	1	1	0.5
booker	bookers	1	1	0.5
do-gooder	do-gooders	1	1	0.5
loader	loaders	1	1	0.5
fable	fables	2	2	0.5
bombing	bombings	2	2	0.5
stopover	stopovers	1	1	0.5
planetoid	planetoids	1	1	0.5
expressionist	expressionists	2	2	0.5
roommate	roommates	1	1	0.5
anion	anions	1	1	0.5
presupposition	presuppositions	1	1	0.5
interpolation	interpolations	1	1	0.5
collector	collectors	7	7	0.5
motet	motets	1	1	0.5
millennium	millennia	3	3	0.5
fastening	fastenings	1	1	0.5
watercolorist	watercolorists	2	2	0.5
hoot	hoots	1	1	0.5
hoof	hooves	2	2	0.5
longitude	longitudes	1	1	0.5
polybutene	polybutenes	1	1	0.5
forgery	forgeries	1	1	0.5
parting	partings	1	1	0.5
sarcasm	sarcasms	1	1	0.5
intestine	intestines	1	1	0.5
testimonial	testimonials	1	1	0.5
crawl	crawls	2	2	0.5
outlaw	outlaws	2	2	0.5
flame	flames	13	13	0.5
hulk	hulks	2	2	0.5
spectrum	spectra	14	14	0.5
headland	headlands	1	1	0.5
memo	memos	1	1	0.5
evangelist	evangelists	1	1	0.5
maiden	maidens	1	1	0.5
audition	auditions	2	2	0.5
coin	coins	9	9	0.5
inconsistency	inconsistencies	1	1	0.5
confederation	confederations	1	1	0.5
floe	floes	1	1	0.5
saying	sayings	1	1	0.5
grievance	grievances	3	3	0.5
analogue	analogues	1	1	0.5
caper	capers	1	1	0.5
reverberation	reverberations	1	1	0.5
refreshment	refreshments	2	2	0.5
constant	constants	9	9	0.5
axiom	axioms	1	1	0.5
subroutine	subroutines	1	1	0.5
covering	coverings	2	2	0.5
shill	shills	1	1	0.5
householder	householders	1	1	0.5
monograph	monographs	1	1	0.5
con	cons	1	1	0.5
foray	forays	1	1	0.5
tint	tints	1	1	0.5
beggar	beggars	2	2	0.5
mushroom	mushrooms	2	2	0.5
pyramid	pyramids	1	1	0.5
reproducibility	reproducibilities	1	1	0.5
memorial	memorials	2	2	0.5
make	makes	3	3	0.5
microphone	microphones	4	4	0.5
fuse	fuses	3	3	0.5
tune	tunes	7	7	0.5
buckle	buckles	2	2	0.5
letterman	lettermen	1	1	0.5
haberdashery	haberdasheries	1	1	0.5
misconstruction	misconstructions	1	1	0.5
half-brother	half-brothers	1	1	0.5
quirk	quirks	1	1	0.5
orphan	orphans	1	1	0.5
sorority	sororities	1	1	0.5
rumor	rumors	4	4	0.5
captive	captives	2	2	0.5
prick	pricks	1	1	0.5
guess	guesses	3	3	0.5
purveyor	purveyors	1	1	0.5
pail	pails	4	4	0.5
mosquito	mosquitoes	1	1	0.5
chin-up	chin-ups	1	1	0.5
necklace	necklaces	2	2	0.5
innuendo	innuendoes	1	1	0.5
donation	donations	2	2	0.5
croak	croaks	1	1	0.5
fern	ferns	1	1	0.5
launching	launchings	1	1	0.5
interrelation	interrelations	4	4	0.5
hypocrite	hypocrites	2	2	0.5
dump	dumps	1	1	0.5
duet	duets	1	1	0.5
napkin	napkins	2	2	0.5
upset	upsets	1	1	0.5
glacier	glaciers	1	1	0.5
bunkmate	bunkmates	1	1	0.5
holding	holdings	4	4	0.5
sling	slings	1	1	0.5
faction	factions	5	5	0.5
polity	polities	1	1	0.5
scoundrel	scoundrels	1	1	0.5
skit	skits	1	1	0.5
yokel	yokels	1	1	0.5
skid	skids	1	1	0.5
brochure	brochures	2	2	0.5
jerk	jerks	1	1	0.5
persona	personae	1	1	0.5
kitten	kittens	5	5	0.5
offender	offenders	2	2	0.5
thinker	thinkers	6	6	0.5
currant	currants	1	1	0.5
takeoff	takeoffs	2	2	0.5
exertion	exertions	1	1	0.5
drunkard	drunkards	3	3	0.5
telegrapher	telegraphers	3	3	0.5
draftee	draftees	1	1	0.5
tabulation	tabulations	2	2	0.5
bloke	blokes	1	1	0.5
gorge	gorges	1	1	0.5
combatant	combatants	1	1	0.5
scenario	scenarios	1	1	0.5
wicket	wickets	1	1	0.5
somersault	somersaults	2	2	0.5
prosecutor	prosecutors	2	2	0.5
anesthetic	anesthetics	1	1	0.5
cubist	cubists	1	1	0.5
velour	velours	1	1	0.5
logarithm	logarithms	1	1	0.5
privy	privies	1	1	0.5
pickle	pickles	1	1	0.5
dosage	dosages	4	4	0.5
ounce	ounces	3	3	0.5
extractor	extractors	1	1	0.5
serving	servings	1	1	0.5
barnyard	barnyards	1	1	0.5
terrace	terraces	7	7	0.5
respondent	respondents	8	8	0.5
still	stills	2	2	0.5
self-portrait	self-portraits	1	1	0.5
nymph	nymphs	1	1	0.5
loophole	loopholes	2	2	0.5
lien	liens	1	1	0.5
amulet	amulets	1	1	0.5
rattler	rattlers	1	1	0.5
sop	sops	1	1	0.5
bleat	bleats	1	1	0.5
bovine	bovines	1	1	0.5
whiplash	whiplashes	1	1	0.5
kilowatt	kilowatts	1	1	0.5
scion	scions	1	1	0.5
grab	grabs	3	3	0.5
manikin	manikins	1	1	0.5
handstand	handstands	1	1	0.5
deprivation	deprivations	1	1	0.5
blind	blinds	3	3	0.5
boulevard	boulevards	2	2	0.5
donor	donors	5	5	0.5
easement	easements	2	2	0.5
trophy	trophies	2	2	0.5
polemic	polemics	1	1	0.5
hearer	hearers	2	2	0.5
stratagem	stratagems	1	1	0.5
wanderer	wanderers	1	1	0.5
fracture	fractures	1	1	0.5
commonplace	commonplaces	2	2	0.5
rehearsal	rehearsals	4	4	0.5
librarian	librarians	5	5	0.5
hurler	hurlers	1	1	0.5
synonym	synonyms	3	3	0.5
ornament	ornaments	3	3	0.5
outrage	outrages	3	3	0.5
onlooker	onlookers	2	2	0.5
stoppage	stoppages	1	1	0.5
hedge	hedges	2	2	0.5
torpedo	torpedoes	1	1	0.5
homestead	homesteads	1	1	0.5
pinnacle	pinnacles	1	1	0.5
priest	priests	16	16	0.5
kernel	kernels	3	3	0.5
seam	seams	9	9	0.5
crusher	crushers	1	1	0.5
parapet	parapets	1	1	0.5
mediocrity	mediocrities	1	1	0.5
flavoring	flavorings	1	1	0.5
accusation	accusations	3	3	0.5
sentinel	sentinels	2	2	0.5
biographer	biographers	1	1	0.5
poll	polls	9	9	0.5
tornado	tornadoes	1	1	0.5
teammate	teammates	2	2	0.5
mounting	mountings	1	1	0.5
dictator	dictators	4	4	0.5
memento	mementos	1	1	0.5
pettiness	pettinesses	1	1	0.5
cask	casks	1	1	0.5
authentication	authentications	1	1	0.5
inquiry	inquiries	17	17	0.5
upshot	upshots	1	1	0.5
renunciation	renunciations	1	1	0.5
caterpillar	caterpillars	1	1	0.5
sinner	sinners	4	4	0.5
weekly	weeklies	3	3	0.5
haystack	haystacks	1	1	0.5
lyricist	lyricists	2	2	0.5
grit	grits	1	1	0.5
laundering	launderings	1	1	0.5
mop	mops	1	1	0.5
warehouse	warehouses	4	4	0.5
patina	patinas	1	1	0.5
millidegree	millidegrees	3	3	0.5
malignancy	malignancies	1	1	0.5
shutter	shutters	5	5	0.5
footfall	footfalls	1	1	0.5
clap	claps	1	1	0.5
falsehood	falsehoods	2	2	0.5
endeavor	endeavors	5	5	0.5
seaman	seamen	2	2	0.5
lithograph	lithographs	1	1	0.5
wolf	wolves	4	4	0.5
chive	chives	1	1	0.5
sonority	sonorities	1	1	0.5
coupon	coupons	1	1	0.5
hawker	hawkers	1	1	0.5
eluate	eluates	1	1	0.5
gibe	gibes	1	1	0.5
vocalist	vocalists	2	2	0.5
illustrator	illustrators	1	1	0.5
intermission	intermissions	1	1	0.5
potato	potatoes	15	15	0.5
touchstone	touchstones	1	1	0.5
hoodlum	hoodlums	3	3	0.5
deed	deeds	7	7	0.5
bishop	bishops	5	5	0.5
casualty	casualties	2	2	0.5
cove	coves	1	1	0.5
platter	platters	1	1	0.5
precondition	preconditions	1	1	0.5
allergy	allergies	1	1	0.5
gaucherie	gaucheries	1	1	0.5
meditation	meditations	2	2	0.5
squeal	squeals	1	1	0.5
parcel	parcels	1	1	0.5
posseman	possemen	1	1	0.5
celebrity	celebrities	3	3	0.5
dinosaur	dinosaurs	1	1	0.5
thermocouple	thermocouples	3	3	0.5
flick	flicks	1	1	0.5
antibiotic	antibiotics	1	1	0.5
plaid	plaids	1	1	0.5
gyration	gyrations	1	1	0.5
dial	dials	1	1	0.5
golfer	golfers	3	3	0.5
rascal	rascals	1	1	0.5
trinket	trinkets	1	1	0.5
pub	pubs	1	1	0.5
enmity	enmities	1	1	0.5
libertine	libertines	1	1	0.5
shack	shacks	1	1	0.5
tarpaulin	tarpaulins	1	1	0.5
ballad	ballads	7	7	0.5
chestnut	chestnuts	1	1	0.5
seismograph	seismographs	1	1	0.5
formality	formalities	2	2	0.5
particular	particulars	5	5	0.5
laborer	laborers	6	6	0.5
equine	equines	1	1	0.5
aspirant	aspirants	2	2	0.5
schoolgirl	schoolgirls	1	1	0.5
scar	scars	10	10	0.5
waterway	waterways	2	2	0.5
run-up	run-ups	1	1	0.5
redwood	redwoods	2	2	0.5
waver	wavers	1	1	0.5
dragon	dragons	1	1	0.5
sect	sects	2	2	0.5
setback	setbacks	3	3	0.5
pane	panes	3	3	0.5
hoop	hoops	3	3	0.5
molar	molars	1	1	0.5
snowball	snowballs	1	1	0.5
sit-in	sit-ins	1	1	0.5
liniment	liniments	1	1	0.5
fairy	fairies	2	2	0.5
fixture	fixtures	3	3	0.5
goitrogen	goitrogens	2	2	0.5
attendant	attendants	7	7	0.5
turnout	turnouts	2	2	0.5
blister	blisters	2	2	0.5
eventuality	eventualities	1	1	0.5
prophet	prophets	4	4	0.5
blank	blanks	3	3	0.5
campground	campgrounds	2	2	0.5
miss	misses	1	1	0.5
lawman	lawmen	2	2	0.5
interviewee	interviewees	1	1	0.5
playmate	playmates	2	2	0.5
transaction	transactions	5	5	0.5
bunter	bunters	1	1	0.5
endeavour	endeavours	1	1	0.5
detractor	detractors	1	1	0.5
sophisticate	sophisticates	1	1	0.5
dispenser	dispensers	1	1	0.5
idler	idlers	1	1	0.5
evasion	evasions	1	1	0.5
villager	villagers	1	1	0.5
miscellany	miscellanies	1	1	0.5
postman	postmen	2	2	0.5
breaker	breakers	1	1	0.5
mineral	minerals	11	11	0.5
chowder	chowders	1	1	0.5
passer-by	passers-by	1	1	0.5
felon	felons	1	1	0.5
delinquent	delinquents	3	3	0.5
clothesline	clotheslines	1	1	0.5
excursion	excursions	2	2	0.5
shepherd	shepherds	1	1	0.5
alteration	alterations	7	7	0.5
cramp	cramps	2	2	0.5
pagoda	pagodas	1	1	0.5
sideboard	sideboards	1	1	0.5
lass	lasses	1	1	0.5
bandit	bandits	3	3	0.5
lash	lashes	2	2	0.5
hollyhock	hollyhocks	1	1	0.5
shutdown	shutdowns	3	3	0.5
trestle	trestles	1	1	0.5
dud	duds	1	1	0.5
quintet	quintets	1	1	0.5
two-by-four	two-by-fours	1	1	0.5
pedestrian	pedestrians	2	2	0.5
imperialist	imperialists	1	1	0.5
decoration	decorations	8	8	0.5
sluice	sluices	2	2	0.5
rig	rigs	4	4	0.5
sham	shams	1	1	0.5
snail	snails	1	1	0.5
ballerina	ballerinas	1	1	0.5
horde	hordes	2	2	0.5
stripe	stripes	4	4	0.5
birch	birches	1	1	0.5
alderman	aldermen	1	1	0.5
coup	coups	2	2	0.5
abbreviation	abbreviations	1	1	0.5
reviewer	reviewers	2	2	0.5
miscreant	miscreants	1	1	0.5
shortcut	shortcuts	1	1	0.5
sputnik	sputniks	1	1	0.5
shoestring	shoestrings	1	1	0.5
bureaucrat	bureaucrats	1	1	0.5
aggregation	aggregations	1	1	0.5
cleft	clefts	1	1	0.5
disorder	disorders	7	7	0.5
lathe	lathes	1	1	0.5
litter	litters	3	3	0.5
thruway	thruways	1	1	0.5
loser	losers	1	1	0.5
pale	pales	1	1	0.5
yachtsman	yachtsmen	1	1	0.5
culprit	culprits	2	2	0.5
monastery	monasteries	2	2	0.5
quota	quotas	3	3	0.5
zombie	zombies	1	1	0.5
taboo	taboos	1	1	0.5
hoosegow	hoosegows	1	1	0.5
gnome	gnomes	1	1	0.5
tracing	tracings	1	1	0.5
hallmark	hallmarks	2	2	0.5
backbend	backbends	1	1	0.5
handbook	handbooks	1	1	0.5
spat	spats	1	1	0.5
blueprint	blueprints	1	1	0.5
theatergoer	theatergoers	1	1	0.5
tally	tallies	2	2	0.5
butler	butlers	2	2	0.5
legation	legations	1	1	0.5
bang	bangs	3	3	0.5
titer	titers	4	4	0.5
freeway	freeways	5	5	0.5
scapegoat	scapegoats	1	1	0.5
humanist	humanists	1	1	0.5
intensifier	intensifiers	6	6	0.5
gardenia	gardenias	1	1	0.5
troopship	troopships	1	1	0.5
cobblestone	cobblestones	1	1	0.5
crease	creases	1	1	0.5
dot	dots	11	11	0.5
scratch	scratches	6	6	0.5
bulkhead	bulkheads	1	1	0.5
mosque	mosques	2	2	0.5
brigade	brigades	1	1	0.5
rag	rags	7	7	0.5
boatload	boatloads	1	1	0.5
button	buttons	10	10	0.5
crow	crows	1	1	0.5
insertion	insertions	1	1	0.5
lull	lulls	1	1	0.5
graybeard	graybeards	1	1	0.5
kidnapper	kidnappers	1	1	0.5
bachelor	bachelors	4	4	0.5
extreme	extremes	9	9	0.5
screech	screeches	1	1	0.5
climb	climbs	1	1	0.5
feller	fellers	1	1	0.5
oval	ovals	2	2	0.5
staple	staples	1	1	0.5
rutabaga	rutabagas	1	1	0.5
frog	frogs	1	1	0.5
compatriot	compatriots	1	1	0.5
billet	billets	1	1	0.5
folder	folders	1	1	0.5
parachute	parachutes	1	1	0.5
executor	executors	2	2	0.5
inhibitor	inhibitors	2	2	0.5
poseur	poseurs	1	1	0.5
wharf	wharves	2	2	0.5
hangar	hangars	1	1	0.5
rodeo	rodeos	1	1	0.5
filament	filaments	1	1	0.5
crudity	crudities	1	1	0.5
cupboard	cupboards	2	2	0.5
encyclopedia	encyclopedias	1	1	0.5
martini	martinis	2	2	0.5
flapper	flappers	1	1	0.5
producer	producers	14	14	0.5
accompanist	accompanists	1	1	0.5
glee	glees	1	1	0.5
housewife	housewives	4	4	0.5
insulator	insulators	1	1	0.5
derelict	derelicts	1	1	0.5
articulation	articulations	1	1	0.5
prevision	previsions	2	2	0.5
gallstone	gallstones	1	1	0.5
beginner	beginners	1	1	0.5
bump	bumps	1	1	0.5
witness	witnesses	19	19	0.5
explorer	explorers	3	3	0.5
scimitar	scimitars	1	1	0.5
lecture	lectures	13	13	0.5
tenement	tenements	2	2	0.5
intruder	intruders	1	1	0.5
dissenter	dissenters	1	1	0.5
sneer	sneers	1	1	0.5
farmland	farmlands	1	1	0.5
projectile	projectiles	1	1	0.5
affliction	afflictions	1	1	0.5
prank	pranks	1	1	0.5
ancient	ancients	1	1	0.5
spacesuit	spacesuits	1	1	0.5
co-op	co-ops	1	1	0.5
suburbanite	suburbanites	1	1	0.5
transistor	transistors	1	1	0.5
burlesque	burlesques	1	1	0.5
photograph	photographs	14	14	0.5
pup	pups	2	2	0.5
insignificance	insignificances	1	1	0.5
cricket	crickets	2	2	0.5
bastard	bastards	12	12	0.5
pursuer	pursuers	2	2	0.5
grinding	grindings	1	1	0.5
crate	crates	2	2	0.5
corduroy	corduroys	1	1	0.5
jab	jabs	1	1	0.5
exaltation	exaltations	1	1	0.5
magistrate	magistrates	3	3	0.5
sinus	sinuses	1	1	0.5
juror	jurors	4	4	0.5
pronoun	pronouns	4	4	0.5
cruise	cruises	1	1	0.5
violet	violets	2	2	0.5
segment	segments	10	10	0.5
imbalance	imbalances	1	1	0.5
keynote	keynotes	1	1	0.5
gym	gyms	2	2	0.5
lawsuit	lawsuits	1	1	0.5
freezer	freezers	1	1	0.5
tantrum	tantrums	2	2	0.5
equal	equals	1	1	0.5
cinder	cinders	2	2	0.5
foothill	foothills	1	1	0.5
whispering	whisperings	1	1	0.5
politico	politicos	1	1	0.5
second	seconds	27	27	0.5
treat	treats	2	2	0.5
anomaly	anomalies	1	1	0.5
quotation	quotations	4	4	0.5
pram	prams	1	1	0.5
runway	runways	4	4	0.5
rigger	riggers	1	1	0.5
suffix	suffixes	1	1	0.5
buffoon	buffoons	1	1	0.5
dam	dams	2	2	0.5
diplomat	diplomats	5	5	0.5
outcast	outcasts	1	1	0.5
biologist	biologists	2	2	0.5
grating	gratings	1	1	0.5
mother-in-law	mothers-in-law	1	1	0.5
reimbursement	reimbursements	2	2	0.5
thief	thieves	8	8	0.5
incubus	incubi	1	1	0.5
trucker	truckers	1	1	0.5
blouse	blouses	1	1	0.5
grant-in-aid	grants-in-aid	3	3	0.5
headstand	headstands	1	1	0.5
gainer	gainers	1	1	0.5
galley	galleys	4	4	0.5
vertebrate	vertebrates	1	1	0.5
hutment	hutments	1	1	0.5
airline	airlines	2	2	0.5
utopian	utopians	2	2	0.5
funnel	funnels	1	1	0.5
torch	torches	2	2	0.5
auxiliary	auxiliaries	1	1	0.5
disbursement	disbursements	2	2	0.5
reinforcement	reinforcements	2	2	0.5
chairmanship	chairmanships	1	1	0.5
stirring	stirrings	1	1	0.5
limb	limbs	5	5	0.5
out	outs	1	1	0.5
stimulant	stimulants	1	1	0.5
draught	draughts	2	2	0.5
inset	insets	1	1	0.5
gynecologist	gynecologists	1	1	0.5
nation	nations	118	117	0.497872340426
hill	hills	38	37	0.493333333333
builder	builders	26	25	0.490196078431
prospect	prospects	25	24	0.489795918367
writer	writers	71	68	0.489208633094
adult	adults	23	22	0.488888888889
factory	factories	23	22	0.488888888889
activity	activities	115	110	0.488888888889
fraction	fractions	20	19	0.487179487179
rank	ranks	20	19	0.487179487179
dog	dogs	70	66	0.485294117647
expense	expenses	50	47	0.484536082474
dancer	dancers	31	29	0.483333333333
good	goods	61	57	0.483050847458
firm	firms	59	55	0.482456140351
tie	ties	14	13	0.481481481481
unit	units	94	87	0.480662983425
skill	skills	40	37	0.480519480519
spokesman	spokesmen	13	12	0.48
blade	blades	13	12	0.48
seed	seeds	39	36	0.48
adventure	adventures	13	12	0.48
exhibit	exhibits	13	12	0.48
tool	tools	37	34	0.478873239437
value	values	199	182	0.477690288714
habit	habits	23	21	0.477272727273
source	sources	90	82	0.476744186047
airplane	airplanes	11	10	0.47619047619
grant	grants	22	20	0.47619047619
deficiency	deficiencies	11	10	0.47619047619
tale	tales	21	19	0.475
payment	payments	52	47	0.474747474747
quarter	quarters	31	28	0.474576271186
station	stations	93	84	0.474576271186
bush	bushes	10	9	0.473684210526
hazard	hazards	10	9	0.473684210526
cost	costs	179	160	0.47197640118
bunk	bunks	18	16	0.470588235294
quack	quacks	9	8	0.470588235294
hip	hips	9	8	0.470588235294
ruin	ruins	9	8	0.470588235294
individual	individuals	81	72	0.470588235294
shoulder	shoulders	58	51	0.467889908257
sign	signs	73	64	0.467153284672
dwelling	dwellings	8	7	0.466666666667
ticket	tickets	16	14	0.466666666667
diamond	diamonds	8	7	0.466666666667
profit	profits	24	21	0.466666666667
shell	shells	16	14	0.466666666667
hint	hints	8	7	0.466666666667
precaution	precautions	8	7	0.466666666667
recommendation	recommendations	24	21	0.466666666667
ankle	ankles	8	7	0.466666666667
ambiguity	ambiguities	8	7	0.466666666667
frankfurter	frankfurters	8	7	0.466666666667
slum	slums	8	7	0.466666666667
meal	meals	30	26	0.464285714286
agent	agents	44	38	0.463414634146
effort	efforts	145	125	0.462962962963
refugee	refugees	7	6	0.461538461538
reactor	reactors	7	6	0.461538461538
hymn	hymns	7	6	0.461538461538
pony	ponies	7	6	0.461538461538
ancestor	ancestors	7	6	0.461538461538
sensibility	sensibilities	7	6	0.461538461538
sanction	sanctions	7	6	0.461538461538
traveler	travelers	7	6	0.461538461538
chord	chords	7	6	0.461538461538
fiber	fibers	27	23	0.46
crop	crops	20	17	0.459459459459
provision	provisions	46	39	0.458823529412
estimate	estimates	26	22	0.458333333333
debt	debts	13	11	0.458333333333
woman	women	216	182	0.457286432161
cut	cuts	19	16	0.457142857143
root	roots	25	21	0.45652173913
officer	officers	97	81	0.455056179775
garment	garments	6	5	0.454545454545
signature	signatures	6	5	0.454545454545
hostility	hostilities	6	5	0.454545454545
fluid	fluids	18	15	0.454545454545
cartridge	cartridges	6	5	0.454545454545
puppet	puppets	6	5	0.454545454545
excerpt	excerpts	6	5	0.454545454545
recipient	recipients	6	5	0.454545454545
economist	economists	6	5	0.454545454545
slot	slots	6	5	0.454545454545
slogan	slogans	6	5	0.454545454545
plank	planks	6	5	0.454545454545
brow	brows	6	5	0.454545454545
loading	loadings	6	5	0.454545454545
hunter	hunters	6	5	0.454545454545
trooper	troopers	6	5	0.454545454545
kidney	kidneys	6	5	0.454545454545
precinct	precincts	6	5	0.454545454545
cliche	cliches	6	5	0.454545454545
layer	layers	12	10	0.454545454545
journal	journals	6	5	0.454545454545
mount	mounts	6	5	0.454545454545
stick	sticks	23	19	0.452380952381
comment	comments	34	28	0.451612903226
teacher	teachers	78	64	0.450704225352
breast	breasts	11	9	0.45
detail	details	70	57	0.448818897638
reader	readers	43	35	0.448717948718
force	forces	175	142	0.447949526814
building	buildings	94	76	0.447058823529
procedure	procedures	76	61	0.445255474453
saloon	saloons	10	8	0.444444444444
blue	blues	15	12	0.444444444444
diagram	diagrams	10	8	0.444444444444
coupler	couplers	5	4	0.444444444444
photo	photos	5	4	0.444444444444
gentleman	gentlemen	25	20	0.444444444444
undertaking	undertakings	5	4	0.444444444444
opponent	opponents	15	12	0.444444444444
convict	convicts	5	4	0.444444444444
minor	minors	5	4	0.444444444444
rod	rods	5	4	0.444444444444
tribunal	tribunals	5	4	0.444444444444
hamburger	hamburgers	5	4	0.444444444444
tourist	tourists	15	12	0.444444444444
shrine	shrines	5	4	0.444444444444
tube	tubes	30	24	0.444444444444
choreographer	choreographers	5	4	0.444444444444
vessel	vessels	15	12	0.444444444444
buck	bucks	5	4	0.444444444444
peanut	peanuts	5	4	0.444444444444
locality	localities	5	4	0.444444444444
attachment	attachments	5	4	0.444444444444
tappet	tappets	15	12	0.444444444444
experimenter	experimenters	5	4	0.444444444444
premiere	premieres	5	4	0.444444444444
muscle	muscles	39	31	0.442857142857
wage	wages	53	42	0.442105263158
male	males	24	19	0.441860465116
ambition	ambitions	19	15	0.441176470588
letter	letters	140	110	0.44
artist	artists	55	43	0.438775510204
magazine	magazines	32	25	0.438596491228
model	models	59	46	0.438095238095
ceremony	ceremonies	18	14	0.4375
contribution	contributions	36	28	0.4375
rose	roses	9	7	0.4375
preference	preferences	9	7	0.4375
policeman	policemen	18	14	0.4375
earthquake	earthquakes	9	7	0.4375
thigh	thighs	9	7	0.4375
embassy	embassies	9	7	0.4375
judge	judges	22	17	0.435897435897
cat	cats	22	17	0.435897435897
code	codes	22	17	0.435897435897
project	projects	79	61	0.435714285714
linguist	linguists	13	10	0.434782608696
monk	monks	13	10	0.434782608696
sector	sectors	13	10	0.434782608696
patch	patches	13	10	0.434782608696
problem	problems	312	240	0.434782608696
benefit	benefits	42	32	0.432432432432
inlet	inlets	4	3	0.428571428571
teaspoon	teaspoons	4	3	0.428571428571
intrigue	intrigues	4	3	0.428571428571
wrong	wrongs	8	6	0.428571428571
ending	endings	4	3	0.428571428571
janitor	janitors	4	3	0.428571428571
doorman	doormen	4	3	0.428571428571
satellite	satellites	8	6	0.428571428571
musical	musicals	4	3	0.428571428571
nozzle	nozzles	4	3	0.428571428571
foe	foes	8	6	0.428571428571
raise	raises	4	3	0.428571428571
deposit	deposits	8	6	0.428571428571
sponsor	sponsors	8	6	0.428571428571
counselor	counselors	4	3	0.428571428571
measure	measures	60	45	0.428571428571
antibody	antibodies	12	9	0.428571428571
madrigal	madrigals	4	3	0.428571428571
mule	mules	4	3	0.428571428571
bout	bouts	4	3	0.428571428571
giveaway	giveaways	4	3	0.428571428571
ash	ashes	8	6	0.428571428571
maple	maples	4	3	0.428571428571
loaf	loaves	4	3	0.428571428571
bandage	bandages	4	3	0.428571428571
run	runs	52	39	0.428571428571
fertilizer	fertilizers	4	3	0.428571428571
booth	booths	4	3	0.428571428571
saw	saws	4	3	0.428571428571
calculation	calculations	12	9	0.428571428571
bronchus	bronchi	4	3	0.428571428571
lapse	lapses	4	3	0.428571428571
animal	animals	68	51	0.428571428571
tomato	tomatoes	4	3	0.428571428571
hobby	hobbies	4	3	0.428571428571
viewer	viewers	4	3	0.428571428571
joint	joints	16	12	0.428571428571
beep	beeps	4	3	0.428571428571
bearing	bearings	8	6	0.428571428571
pig	pigs	8	6	0.428571428571
operation	operations	106	79	0.427027027027
phenomenon	phenomena	35	26	0.426229508197
shadow	shadows	27	20	0.425531914894
grain	grains	27	20	0.425531914894
decade	decades	46	34	0.425
foundation	foundations	19	14	0.424242424242
indication	indications	19	14	0.424242424242
area	areas	319	235	0.424187725632
objective	objectives	53	39	0.423913043478
share	shares	56	41	0.422680412371
bullet	bullets	26	19	0.422222222222
victim	victims	26	19	0.422222222222
supplement	supplements	11	8	0.421052631579
